https://github.com/couchbase/couchbase-jvm-core/commit/530fbcc418568f0ca1b90c2639ec2605ff4f34b0,core changes for deferred queries support,,adaptive,,test,deferred support,,,
https://github.com/couchbase/couchbase-jvm-core/commit/dfc164ccf6d03b7ce7e3eeb2a64ee3bb0b581765,wrap raw config into context as a first step of fixing the code needs to be prepared to send around not the raw config alone but more information associated,,preventive,,test,wrap,,,
https://github.com/couchbase/couchbase-jvm-core/commit/7bbd6158126d468bb5aad457d58ce500e529510c,rename zombie* to orphan* both names have been used internally but we settled on orphan reporting instead of zombie reporting so this changeset renames the appropriate classes and log messages,,preventive,,test,rename to,,,
https://github.com/couchbase/couchbase-jvm-core/commit/78222b212ab2b5ea79ca448584e9dfdc00ef481f,separate tracing from zombie response logging,,preventive,,test,separate,,,
https://github.com/couchbase/couchbase-jvm-core/commit/c34df209c58a5ce39f48bb0903ce24fc744fe3a3,remove encryption here as it moved to separate repo new repo https://github<prd>com/couchbase/couchbase-java-client-crypto-extension,,preventive,,test,remove move separate,,,
https://github.com/couchbase/couchbase-jvm-core/commit/09f27f6753a0be954c33aac8f46722467795f912,consolidate jackson object mappers this changeset doesn't have any functional changes it only consolidates the myriad of objectmapper instances into a helper class and just calls it from there gardening you know,,preventive,,test,consolidate,,,
https://github.com/couchbase/couchbase-jvm-core/commit/a459f389dd8970c035bd42329a72e0bded0a1389,refactor how spans and requests link this changeset mixes up some parts where previously data would be stored as baggage is now stored on the request itself this is needed so that even without tracing in scope or enabled additional information on the timeout exception can be logged,,preventive,,test,refactor,,,
https://github.com/couchbase/couchbase-jvm-core/commit/261f176cf10d840e8342bd56244f02aa61c2f56f,bump dependencies to releases as part of the regular dep bump this change makes sure all of our dependencies are up-to-date,,preventive,,test,bump dependencies,,,
https://github.com/couchbase/couchbase-jvm-core/commit/8d7fe62b9d0d66acc421673440753f41a0a3dcd9,propagate corecontext into endpoints this changeset propagates the context from the service into the endpoints and adapts the to work with the new interfaces,,preventive,,test,propagate,,,
https://github.com/couchbase/couchbase-jvm-core/commit/1007399f097ebda8075b94ab3002213fd7d4edff,create corecontext this is the first of a couple changesets which propagate a corecontext down into the individual components rather than individual objects independently this makes it a little bit easier to reason about core-global state but also allows us in the future to add more context (for example the core-identifier we need for the new hello),,preventive,,test,down into individual easier reason allows future,,,
https://github.com/couchbase/couchbase-jvm-core/commit/eb2567091d5a6207c7156e22a1025c31c92f13a8,remove dcp from core-io dcp has been factored out into its own project (which has core-io as a dependency) and we've deprecated it couple months ago,,preventive,,,remove from factored out deprecated,,,
https://github.com/couchbase/couchbase-jvm-core/commit/27e69ed440998d6999b478361f5388aac0ac3c39,close latencystats on removal latencystats is holding a weak reference to the pause detector and it makes sense to clean them up to save the gc some work and also avoid bloating if the gc is not cleaning them up right away,,preventive,,,removal clean up,,,
https://github.com/couchbase/couchbase-jvm-core/commit/d57a80739457a374ef58cc9345f9a76945969f29,move connstr handling to jvm core move connection string handling to core-io so other projects that depend on core can use it changes ------- moved connectionstring class to utils from java client and also moved the result ------ other dependent projects like kafka can use connection string,,preventive,,,move to,,,
https://github.com/couchbase/couchbase-jvm-core/commit/77097f10c870036c5890324ca3c10dc232a6fe50,move onerror calls onto scheduler like with onnext calls it is important that (if not configured to do so explicitly) onerror callbacks are also executed on the scheduler (and not run directly on the threads where called),,preventive,,,move onto,,,
https://github.com/couchbase/couchbase-jvm-core/commit/d9cd0a07013c877af6646a8e49487d57f2835a78,add generic restapirequest for 8091 the sdk has native apis for some number of cluster management calls but for the rest of the cluster's rest api a simplified client could make sense this can be done for port 8091 endpoints via a dedicated message in the core using confighandler,,preventive,,,simplified client,,,
https://github.com/couchbase/couchbase-jvm-core/commit/bddbdae7e92e13112e649eca4d35f786599f4493,use the same logical connection for all dcp nodes dcp connection have to be opened on each node separately but from the sdk perspective there is only one logical connection and stream but current implementation was creating logical connection for every node and only first connection was actually visible to the consumer,,preventive,,,use same all separately,,,
https://github.com/couchbase/couchbase-jvm-core/commit/72b6a7b091fbc76caaac5f869fe9cd7e5f8785f2,avoid node[] allocations on the send path the locators pick the right nodes and return them as a node[] which in return gets iterated again and the requests send to each node,,preventive,,,moves into,,right saved,
https://github.com/couchbase/couchbase-jvm-core/commit/4edf12e86b128f70957cd86c828f92bb480d6c22,disable subdoc multi-mutation support the protocol for multiple mutations is likely to change before a dp version of the server is released so offering support for it is too early,,preventive,,,made public commented,,change support,version
https://github.com/couchbase/couchbase-jvm-core/commit/0fadafd05db3a91a3bd05dea2844e96d143cfb5f,rename systemmetricsevent to runtimemetricsevent while writing the docs for this feature it became visible that the name was poorly chosen because we have a system event type and the systemmetricsevent is a metric event type all very confusing,,preventive,,,rename to,,features,
https://github.com/couchbase/couchbase-jvm-core/commit/47f21f67c623fbc717fdd765a1fcbeff58145ea5,let handlers expose their servicetype in preparation for the extended metric support it is key that each handler exposes the service type so it can be stitched together later in a consistent manner,,preventive,,,Expose stitched together ,,consistent ,
https://github.com/couchbase/couchbase-jvm-core/commit/50a9b4ee68644ae6fe774258b65b33a660a71453,clarify mutationtoken the mutationdescriptor while accurate should be replaced with a more descriptive name: mutationtoken in addition the vbucket id needs to be added in order to be useful for ryow,,preventive,,,clarify replaced name,,added,
https://github.com/couchbase/couchbase-jvm-core/commit/b1f2491160d35b7e583da4bc37253e134c045db8,fix dcp compatibility with transient endpoints somewhere between 110 dp and ga some code was reworked and parts of the experimental dcp support was broken this changeset fixes the compatibility,,preventive,,,reworked,,,compatibility
https://github.com/couchbase/couchbase-jvm-core/commit/e5bba102005d943f8bd337853b01db69a6e39eb9,make responses reference counted to make it easier to release byte buffers without actually needing to know all the implementation details the appropriate responses can be made reference counted themselves,,preventive,,,Make easier,,appropriate,
https://github.com/couchbase/couchbase-jvm-core/commit/c52ced6aca922012547f25d46eaa70dfc473409d,centralize responsestatus conversion the response status is converted in many places since every handler needs to do this of some sort it turns out that the functionality itself is very redundant so it can easily be centralized,,preventive,,,centralize places easily,,redundant,
https://github.com/couchbase/couchbase-jvm-core/commit/15bfedaa54a0f4e9d2cfe832d0dfeeea1ba37c97,expose a message to fetch the configuration provider if the language bindings need access to the configuration provider they can grab it with a specific request,,preventive,,,expose,,,
https://github.com/couchbase/couchbase-jvm-core/commit/8d8fb4ef66d92aa15f695c900cec0968a8f24c39,extract partitioninfo in its own class the partitioninfo originally part of the couchbasebucketconfig needs to be extracted out so that proper unit can be added it is large enough to stand alone,,preventive,,,extract in out,,proper,
https://github.com/couchbase/couchbase-jvm-core/commit/13ac38cff33c9603333453c4e39085e9e3ac7530,move handler subjects onto different scheduler when subjects are emitted from the io threads the code needs to make sure that the following operators (from external code) are never executed on the io threads to avoid the risk of stalling,,preventive,,,move onto different,,,
https://github.com/couchbase/couchbase-jvm-core/commit/81ba4af399a6d697cf51312f9d1c9f531b965597,move observe utility class from java-client each wrapper of core-io library have to implement observe polling feature this way is more error prone and harder to maintain good quality of this implementation which in fact will be shared,,preventive,,,move from,,harder feature quality,
https://github.com/couchbase/couchbase-jvm-core/commit/5005bda5d79267d2bf206b2d8f46b6990e3b4c50,"rework endpoint handlers for more fine-grained control on completion this changeset adds a very simple state enum to the decoding process and makes it possible that the implementing child handlers signal its parent when they are done with the current response even when more chunks arrive in the meantime this is necessary because it could be that some streaming responses push out chunks to subsequent observables even when the main ""response"" one is already done the previous implementation did fall short on this and resulted in potential deadlocks",,preventive,,,rework,,,
https://github.com/couchbase/couchbase-jvm-core/commit/eac3e586caf8752b0fb65df8a1da956c090e80b5,rename binary services/endpoints and associated to keyvalue this changeset renames the binary* parts to key value in order to better reflect what they are doing binary is too ambigous,,preventive,,,rename,,,
https://github.com/couchbase/couchbase-jvm-core/commit/422f105aa21881bdb008d55a13b911ddefafb569,refactor configuration handling this changeset gets rid of the config depdencency and adds all needed properties for the environment with an elegant builder which also respects system properties that take precedence the architecture also allows to be later extended on dynamic properties that can either poll during the app lifetime or also be exposed through jmx,,preventive,,,gets rid dependency,,,
https://github.com/couchbase/couchbase-jvm-core/commit/0638858ee885c4cb133dcdab55c0f985e874d20a,endpoint refactoring - consolidates the generic handler with the actual endpoint handler for better utilization - cleanup and unit,,preventive,,,consolidates with cleanup,,,
https://github.com/couchbase/couchbase-jvm-core/commit/5d5c6505b6dab7e9a0df007bfb0c9a37e986a819,removing yet unneeded code,,preventive,,,removing,,,
https://github.com/couchbase/couchbase-jvm-core/commit/8813407db6265a3168a488a50e337a588473a14e,refactoring and more config stuff,,preventive,,,refactoring,,,
https://github.com/couchbase/couchbase-jvm-core/commit/23c1043437b91817ac99fab9943cd3d0d6a26233,proactively fetch config from http if signaled previously when an http stream is attached to fetch a configuration it has been trusted to always send a proper one in a short timeframe when the socket has been closed a new stream would be opened this does not account for the fact that a socket can end up in an half/closed (dead) state and the client never knows that it has been closed upon it since a dead socket is not distinguishable from a socket where no config stream events are sent over a new mechanism needs to be added in order to return to a healthy state,,perfective,,test,fetch from,,,
https://github.com/couchbase/couchbase-jvm-core/commit/852fa665a4e58ec4dd814d2ede9da4191e310165,properly close configendpoints when service disconnects while working on a related code-change it was found that when an endpoint disconnects it is properly removed from the states but when this service in total is disconnected (ie if the node is removed) then the service sticks around potentially leaving endpoints connected when they shouldn't be,,perfective,,test,properly close,,,
https://github.com/couchbase/couchbase-jvm-core/commit/b813ba870a38b14713bddc1942569caf63523123,store http response code in search response the language binding needs to decide what to do based on the raw http status code so this change just exposes it as part of the response,,perfective,,test,store needs,,,
https://github.com/couchbase/couchbase-jvm-core/commit/2c231a7430c33790d7ff95ad9f3bf4977b973735,add kv id to document span tag this changeset in-line with the rfc errata adds the document key to the span as a tag if log redaction is not enabled while being in there fixed a minor issue with non-atomic volatile updates which is not really an issue but should be fixed nonetheless,,perfective,,test,add to,,,
https://github.com/couchbase/couchbase-jvm-core/commit/35de201b0d2f510f606e2eb99302db55c54af876,distinguish between nodes on the same physical host this changeset makes it possible that multiple nodes are exposed via the same physical host but just on different port ranges this is only possible right now via the alternate names config,,perfective,,test,makes possible,,,
